year,value_measure,normalization_mean,cutoff_normalized,cutoff_income_adj,cutoff_quantile,n_total,n_body,n_tail,body_fraction,tail_fraction,gompertz_intercept_mode,gompertz_A,gompertz_A_theoretical,gompertz_A_free_diagnostic,gompertz_A_free_deviation,gompertz_B,gompertz_B_free_diagnostic,gompertz_r2,gompertz_rmse,pareto_alpha,pareto_density_exponent,pareto_beta,pareto_r2,pareto_rmse,pareto_ks,continuity_error,joint_log_likelihood,joint_aic,joint_bic,likelihood_type,candidate_count,second_best_cutoff_normalized,second_best_log_likelihood,log_likelihood_difference,profile_ci_lower,profile_ci_upper,profile_ci_width,sensitivity_cutoff_p20,sensitivity_cutoff_p40,sensitivity_cutoff_p60,sensitivity_spread,sensitivity_max_relative_change,selection_criterion,fit_status,failure_reason
1999,income_adj,322.8328372731744,0.4245678248129685,137.06443549927067,0.4327003939273226,90372,39104,51268,0.4327003939273226,0.5672996060726774,fixed,1.5271796258079011,1.5271796258079011,1.5324933812371409,0.00531375542923973,0.2884986264455468,0.27908805388048297,0.9092090698708489,0.008407492104255945,1.087417121711481,2.087417121711481,23.166353609623272,0.5812703614310204,2.0994990485811185,0.06083503643977772,0.0,-80270.19979339557,160546.39958679114,160574.6346560828,normalized_piecewise_microdata,72,0.4043503093456843,-80435.97281330462,165.7730199090438,0.4245678248129685,0.4245678248129685,0.0,0.4245678248129685,0.4245678248129685,4.636846650760142,4.212278825947173,9.921333129289236,log_likelihood,weakly_identified,
2001,income_adj,250.52313570996824,0.4673937123500898,117.0929384290674,0.4634812835299082,99538,46134,53404,0.4634812835299082,0.5365187164700919,fixed,1.5271796258079011,1.5271796258079011,1.5325340343504013,0.005354408542500133,0.29082384720241994,0.2873149728618115,0.9302701000923442,0.008233178413968112,1.1371943315800856,2.1371943315800856,23.451683561377962,0.607935702199342,2.08361600642908,0.056675059704208164,7.105427357601002e-15,-88219.35291561508,176444.70583123015,176473.2307155095,normalized_piecewise_microdata,72,0.4451368689048474,-88629.62282699443,410.26991137934965,0.4673937123500898,0.4673937123500898,0.0,0.4673937123500898,0.4673937123500898,5.359790556866047,4.892396844515957,10.467399785753702,log_likelihood,weakly_identified,
2002,income_adj,214.31002855590324,0.4867960964992808,104.3252853416631,0.46686309134723264,102499,47853,54646,0.46686309134723264,0.5331369086527673,fixed,1.5271796258079011,1.5271796258079011,1.532095385295835,0.0049157594879338795,0.2827721732127636,0.27950878058138123,0.9299465458009244,0.00815444406178692,1.172623113466319,2.1726231134663188,23.778204707457522,0.6342369473976064,1.955947373326831,0.07707257211485101,0.0,-91229.52297738427,182465.04595476855,182493.6587797328,normalized_piecewise_microdata,71,0.46361532999931504,-91987.77059980897,758.247622424693,0.4867960964992808,0.4867960964992808,0.0,0.4867960964992808,0.4867960964992808,4.822188059778935,4.335391963279655,8.90597109232584,log_likelihood,weakly_identified,
2003,income_adj,261.6397433348955,0.5440508237474112,142.34531788641115,0.5004566736850201,104013,52054,51959,0.5004566736850201,0.4995433263149799,fixed,1.5271796258079011,1.5271796258079011,1.5318394131677222,0.004659787359821088,0.2803413555713493,0.2774054676559047,0.941514169459194,0.00805412079355109,1.233747488138359,2.233747488138359,24.59967687116218,0.6551596239884232,1.8823242531907889,0.07351531473678785,0.0,-93619.87262218176,187245.74524436353,187274.40205787445,normalized_piecewise_microdata,71,0.5181436416642011,-94152.29956135192,532.4269391701528,0.5440508237474112,0.5440508237474112,0.0,0.5440508237474112,0.5440508237474112,5.658819319437812,5.1147684956904005,9.401269646942131,log_likelihood,weakly_identified,
2004,income_adj,284.4605044411012,0.5150896052879166,146.52264895256846,0.4747738822536555,109014,51757,57257,0.4747738822536555,0.5252261177463445,fixed,1.5271796258079011,1.5271796258079011,1.5339595362553533,0.0067799104474521865,0.27273918948447884,0.2754765478885934,0.923520703389232,0.009412783269011703,1.2188161498409746,2.2188161498409746,24.361906547168783,0.6614028930752414,1.9403089202744082,0.053708588757555464,0.0,-97965.60191211259,195937.20382422517,195966.00151900516,normalized_piecewise_microdata,71,0.4905615288456348,-98695.6809551096,730.0790429970075,0.5150896052879166,0.5150896052879166,0.0,0.5150896052879166,0.5150896052879166,5.102462739939628,4.5873731346517115,8.905971092325839,log_likelihood,weakly_identified,
2005,income_adj,379.58046624717684,0.5375793918980095,204.05463622152024,0.48982113075015665,113323,55508,57815,0.48982113075015665,0.5101788692498433,fixed,1.5271796258079011,1.5271796258079011,1.533977168009517,0.006797542201615769,0.2724841783449071,0.27323993553258796,0.9239764544572412,0.009652708444026246,1.244072357856396,2.244072357856396,24.667996187129415,0.6604479831507126,1.9564029454495027,0.07279959311909781,0.0,-102111.73415553255,204229.4683110651,204258.382303347,normalized_piecewise_microdata,72,0.5119803732361995,-102543.6248602162,431.89070468363934,0.5375793918980095,0.5375793918980095,0.0,0.5375793918980095,0.5375793918980095,5.591508211770376,5.053928819872366,9.401269646942133,log_likelihood,weakly_identified,
2006,income_adj,436.9365246095776,0.5887126967557762,257.230079714001,0.5112343461167955,115227,58908,56319,0.5112343461167955,0.4887656538832045,fixed,1.5271796258079011,1.5271796258079011,1.534142806589073,0.006963180781171863,0.26595916860817637,0.27032450656600715,0.9309195518804788,0.009883958430212298,1.3299973128795264,2.3299973128795264,25.35767385578137,0.6957829834468585,1.9186639059086033,0.09665071546149197,0.0,-103568.50472256856,207143.0094451371,207171.97342326146,normalized_piecewise_microdata,70,0.5606787588150249,-104208.59302747213,640.0883049035765,0.5887126967557762,0.5887126967557762,0.0,0.5887126967557762,0.5887126967557762,5.037703017598882,4.448990320843106,7.557150279516975,log_likelihood,weakly_identified,
2007,income_adj,522.7813351801578,0.5735777562748775,299.8557452550196,0.49485519470769557,113221,56028,57193,0.49485519470769557,0.5051448052923044,fixed,1.5271796258079011,1.5271796258079011,1.5336163089834114,0.006436683175510272,0.2583619393250549,0.25650863319756,0.9229526315443911,0.009640731534392256,1.321467862832116,2.321467862832116,25.440221021289254,0.7174154564210788,1.6905387991281702,0.06190317519035454,0.0,-102523.84461016905,205053.6892203381,205082.60051115783,normalized_piecewise_microdata,71,0.5462645297855976,-102747.94305469516,224.09844452611287,0.5735777562748775,0.5735777562748775,0.0,0.5735777562748775,0.5735777562748775,4.674467673745035,4.100889917470157,7.149666932873308,log_likelihood,weakly_identified,
2008,income_adj,590.8549033709035,0.5413655690189837,319.86850097104576,0.4622455737560157,113245,52347,60898,0.4622455737560157,0.5377544262439843,fixed,1.5271796258079011,1.5271796258079011,1.5342096432374455,0.007030017429544344,0.24731048141303502,0.24576325412987526,0.90514063047534,0.009959886005982355,1.3052379420919733,2.3052379420919733,25.207077252078324,0.6936005212208847,1.8801197174389,0.05200959882124123,0.0,-102495.08388657909,204996.16777315817,205025.07969983495,normalized_piecewise_microdata,70,0.5684338474699329,-102523.0417963722,27.957909793112776,0.5413655690189837,0.5413655690189837,0.0,0.5413655690189837,0.5413655690189837,0.6909348943112502,0.14956932529226652,0.2762815625000002,log_likelihood,weakly_identified,
2009,income_adj,636.8295046612243,0.5771844905228302,367.568113197795,0.4856887144799573,116202,56438,59764,0.4856887144799573,0.5143112855200427,fixed,1.5271796258079011,1.5271796258079011,1.5331828876472153,0.006003261839314211,0.24866788337515788,0.24331216596918878,0.9154362797033272,0.009582120901362737,1.3483692452923235,2.3483692452923233,25.748884109718013,0.7373353585651865,1.6792051981336935,0.06249703516687603,0.0,-105590.933616527,211187.867233054,211216.85648905888,normalized_piecewise_microdata,71,0.5496995147836478,-106143.69300875728,552.7593922302767,0.5771844905228302,0.5771844905228302,0.0,0.5771844905228302,0.5771844905228302,0.7734824195860065,0.19629792906317634,0.3400956406250003,log_likelihood,weakly_identified,
2011,income_adj,747.5173858471088,0.592146277407377,442.6396373266594,0.4729651024012985,104735,49536,55199,0.4729651024012985,0.5270348975987015,fixed,1.5271796258079011,1.5271796258079011,1.5326473334470112,0.0054677076391100865,0.23298292274343846,0.22499521129060998,0.9111605110316627,0.009251013428418619,1.4215579717405453,2.4215579717405453,26.227793760117443,0.7389481176106281,1.7340226641927103,0.09387240103025667,0.0,-94645.54384700963,189297.08769401925,189325.76525990758,normalized_piecewise_microdata,70,0.5370941291676888,-95282.89336758328,637.3495205736544,0.592146277407377,0.592146277407377,0.0,0.592146277407377,0.592146277407377,0.7197575011029007,0.1276112236955237,0.21550625000000026,log_likelihood,ok_interior,
2012,income_adj,713.2815291380981,0.5790031726955787,412.99226839611265,0.4496983741631722,108744,48902,59842,0.4496983741631722,0.5503016258368277,fixed,1.5271796258079011,1.5271796258079011,1.5323930604296567,0.005213434621755608,0.2224520570310098,0.21475497039041058,0.902874019369295,0.009021374424952872,1.4292037748944764,2.4292037748944764,26.249526801727967,0.7731276776415377,1.5309247478630337,0.0857941371092476,0.0,-98068.77889148013,196143.55778296027,196172.3480382853,normalized_piecewise_microdata,69,0.5514315930434082,-99448.087136014,1379.308244533866,0.5790031726955787,0.5790031726955787,0.0,0.5790031726955787,0.5790031726955787,0.7759196276373892,0.19691645494181054,0.34009564062500036,log_likelihood,weakly_identified,
